Date,Close,High,Low,Open,Volume,Dividends,Stock Splits
2025-02-20,128.85655212402344,129.04650507997266,127.1849458221962,127.77380433338321,2837300,0.0,0.0
2025-02-21,126.3966064453125,128.35314910468537,125.88371760709137,127.94475104136039,3456800,0.0,0.0
2025-02-24,126.91899108886719,127.18492808861241,125.67478273452788,126.46308666717864,2233300,0.0,0.0
2025-02-25,124.7249984741211,127.73579648457591,124.32607849840146,126.62455667573138,2367100,0.0,0.0
2025-02-26,123.31932067871094,125.09541753431654,122.14160381438339,124.47805239472841,2523900,0.0,0.0
2025-02-27,124.0506591796875,125.45632830706204,123.243341080345,124.44007212136941,2704800,0.0,0.0
2025-02-28,120.5649642944336,122.35055368477785,118.11453241592262,121.66671155624087,6868700,0.0,0.0
2025-03-03,114.48638153076172,120.59346185754178,113.3751416457211,120.55546982135579,7432300,0.0,0.0
2025-03-04,115.9775390625,117.6491524887917,111.81750876184613,113.15669367008282,6657600,0.0,0.0
2025-03-05,115.7305908203125,116.12000375957066,112.90974551614106,113.97350079891064,5336500,0.0,0.0
2025-03-06,116.05352020263672,117.2977286083495,114.5718597559301,116.07251259787138,3956800,0.0,0.0
2025-03-07,118.9693374633789,119.36824296428183,116.5189055357069,116.81333475119625,4767200,0.0,0.0
2025-03-10,119.56770324707031,122.34105677983035,118.68440829871807,120.41300615776608,3172800,0.0,0.0
2025-03-11,118.23800659179688,121.03035966442923,118.0385538360717,120.5649699010705,4408900,0.0,0.0
2025-03-12,118.029052734375,119.67217386547671,116.95580489486272,117.82010740653077,3428400,0.0,0.0
2025-03-13,115.00875854492188,118.32349313260606,114.0494867810987,116.94630896048737,3549600,0.0,0.0
2025-03-14,117.69664001464844,117.93408482128527,114.21095199231742,114.92328641222791,3266800,0.0,0.0
2025-03-17,117.37371063232422,118.4469584772249,117.11726620057347,117.58266320745744,3695800,0.0,0.0
2025-03-18,116.41443634033203,118.48495528771444,115.87306248578086,118.4469632501375,3028500,0.0,0.0
2025-03-19,118.66541290283203,119.20678674482892,116.57589436199629,116.57589436199629,3479300,0.0,0.0
2025-03-20,118.05754852294922,119.18778075796077,116.82283275790637,117.7251200311179,4074900,0.0,0.0
2025-03-21,118.88385772705078,118.88385772705078,116.8133388334127,117.33572027873609,9750400,0.0,0.0
2025-03-24,121.82817840576172,122.70197350458442,118.6844044201487,118.95984124947672,3236200,0.0,0.0
2025-03-25,120.98287200927734,123.05339095721357,120.68844277577749,121.95164360590795,3337200,0.0,0.0
2025-03-26,122.69245910644531,123.96517413469603,121.85666334021877,122.28406104342812,2716700,0.0,0.0
2025-03-27,120.36552429199219,122.57850437761752,120.08058762618683,122.4455358659058,2367000,0.0,0.0
2025-03-28,120.2325439453125,120.57446503273319,118.72239851440455,120.18505933365083,2354300,0.0,0.0
2025-03-31,121.79969024658203,123.12937533418905,120.12807681985288,120.25154550763345,3149100,0.0,0.0
2025-04-01,122.80644989013672,122.9964028261212,120.91638411976297,121.3437890950881,1926700,0.0,0.0
2025-04-02,123.44280242919922,123.86070759141157,121.83767328001102,121.83767328001102,1827400,0.0,0.0
2025-04-03,113.86902618408203,118.99783524467728,113.47012066451933,116.5758954186006,5530300,0.0,0.0
2025-04-04,104.99808502197266,110.75374419271256,103.71587740800497,109.77547285471442,8834600,0.0,0.0
2025-04-07,103.5544204711914,107.86641871946969,99.98324880699688,101.89230694414809,8269500,0.0,0.0
2025-04-08,99.6888198852539,106.38476586989088,98.26415114352179,105.19754191844744,5531800,0.0,0.0
2025-04-09,108.32231140136719,109.87044875641826,97.39035171465552,97.39035171465552,9991600,0.0,0.0
2025-04-10,99.35639953613281,106.22329887614507,97.37135730313298,104.47570868184397,8314500,0.0,0.0
2025-04-11,103.08903503417969,104.11479830725376,98.32113940169104,100.52462685149449,4992100,0.0,0.0
2025-04-14,102.2342300415039,105.9003782447431,100.79056888068352,105.57745680273014,4030300,0.0,0.0
2025-04-15,102.08226776123047,103.62090536971127,101.78783129287183,102.32920512664099,3192300,0.0,0.0
2025-04-16,103.7452163696289,105.58549187693639,102.20207275384298,102.70048329360935,4270700,0.975,0.0
2025-04-17,105.91136932373047,108.00084278479216,104.29154604110799,105.12542099319766,5905400,0.0,0.0
2025-04-21,104.5791015625,104.78038023045204,102.94969864332072,104.07111149872917,3001800,0.0,0.0
2025-04-22,106.69731903076172,107.78997874065793,105.63341236914027,106.24683510758811,2947600,0.0,0.0
2025-04-23,106.93692779541016,108.94972143000561,105.4608771800201,107.82830877377639,3037900,0.0,0.0
2025-04-24,108.74845886230469,109.0647570364499,107.004036479623,108.14462287649897,2075400,0.0,0.0
2025-04-25,108.37464141845703,108.81553852615221,107.15738280727419,107.62703296138366,2093400,0.0,0.0
2025-04-28,109.40022277832031,109.793200631961,108.02001786563783,108.19254347972314,1908400,0.0,0.0
2025-04-29,108.2404556274414,109.30436221990145,107.34907462599044,108.4896608839157,2323700,0.0,0.0
2025-04-30,105.7484359741211,107.34908576578914,104.03276667231943,107.34908576578914,5383300,0.0,0.0
2025-05-01,107.04236602783203,108.59509638682084,104.7324404062078,104.9912324556604,4603700,0.0,0.0
2025-05-02,106.25642395019531,107.48326945082579,103.52477462260778,106.50562922769089,6415000,0.0,0.0
2025-05-05,104.01358032226562,104.71326945929793,102.57586952877412,104.33946523799617,5226300,0.0,0.0
2025-05-06,104.20529174804688,105.6525894980409,103.4097565936562,104.94331349137695,4505000,0.0,0.0
2025-05-07,103.48643493652344,104.7995395855488,102.61422012031372,104.7995395855488,4013500,0.0,0.0
2025-05-08,105.15416717529297,107.46409270708877,104.09984738306295,104.51199143878449,6135400,0.0,0.0
2025-05-09,106.50563049316406,106.53438354233673,104.97206628657855,105.89220773556029,4079900,0.0,0.0
2025-05-12,109.32353210449219,112.30438655695787,109.22768617577067,111.23090045515585,3983600,0.0,0.0
2025-05-13,111.80599212646484,112.87947831262802,109.23728154695465,109.86987057628991,4112800,0.0,0.0
2025-05-14,110.78999328613281,111.3746629432529,109.8411061838295,110.49286872065638,3878500,0.0,0.0
2025-05-15,111.04878997802734,111.16380948201295,108.42257346058327,109.17976874185972,3243800,0.0,0.0
